geo_code,sex,age,White,Mixed,Asian,Black,Other
E06000006,1,14,737,15,4,1,3 
E06000006,1,15,684,12,12,0,1 
E06000006,1,16,680,20,7,0,0 
E06000006,1,17,690,9,6,0,0 
E06000006,1,18,741,22,6,2,0 
E06000006,1,19,686,15,6,1,0 
E06000006,1,20,597,12,3,3,3 
E06000006,1,21,638,13,4,1,1 
E06000006,1,22,710,9,3,3,0 
E06000006,1,23,749,6,5,12,0 
E06000006,1,24,760,11,4,0,0 
E06000006,1,25,756,6,4,4,0 
E06000006,1,26,768,8,4,3,0 
E06000006,1,27,817,11,6,0,3 
E06000006,1,28,728,8,4,0,1 
E06000006,1,29,733,8,3,0,0 
E06000006,1,30,795,13,1,4,0 
E06000006,1,31,813,2,8,0,0 
E06000006,1,32,763,9,6,2,10 
E06000006,1,33,727,14,4,11,14 
E06000006,1,34,785,20,5,0,2 
E06000006,1,35,771,10,9,1,2 
E06000006,1,36,813,16,13,8,0 
E06000006,1,37,711,12,11,1,0 
E06000006,1,38,699,9,9,3,0 
E06000006,1,39,794,1,8,1,3 
E06000006,1,40,629,8,8,2,3 
E06000006,1,41,717,5,7,8,4 
E06000006,1,42,717,8,12,3,1 
E06000006,1,43,697,3,13,3,8 
E06000006,1,44,681,6,11,3,3 
E06000006,1,45,807,4,10,7,0 
E06000006,1,46,870,7,6,10,4 
E06000006,1,47,916,16,4,2,1 
E06000006,1,48,870,5,7,1,0 
E06000006,1,49,882,4,8,2,4 
E06000006,1,50,811,2,9,3,0 
E06000006,1,51,868,10,7,1,2 
E06000006,1,52,865,5,6,3,1 
E06000006,1,53,892,7,6,3,8 
E06000006,1,54,845,4,6,6,0 
E06000006,1,55,849,1,3,4,0 
E06000006,1,56,914,10,6,1,0 
E06000006,1,57,843,5,7,4,2 
E06000006,1,58,783,2,2,1,0 
E06000006,1,59,827,6,5,1,1 
E06000006,1,60,785,4,5,2,2 
E06000006,1,61,732,7,7,1,0 
E06000006,1,62,773,3,8,2,0 
E06000006,1,63,687,4,5,1,3 
E06000006,1,64,748,2,7,0,0 
E06000006,1,65,684,7,2,1,1 
E06000006,1,66,726,5,3,1,2 
E06000006,1,67,784,3,6,0,1 
E06000006,1,68,694,1,7,0,0 
E06000006,1,69,740,4,3,1,0 
E06000006,1,70,756,3,4,0,0 
E06000006,1,71,810,4,1,0,0 
E06000006,1,72,573,4,5,1,1 
E06000006,1,73,468,4,4,2,2 
E06000006,1,74,512,3,3,1,0 
E06000006,1,75,415,2,4,2,1 
E06000006,1,76,417,1,2,1,0 
E06000006,1,77,361,1,0,0,0 
E06000006,1,78,335,2,2,1,0 
E06000006,1,79,310,1,4,0,0 
E06000006,1,80,313,3,1,1,0 
E06000006,1,81,288,1,4,1,0 
E06000006,1,82,225,1,1,0,0 
E06000006,1,83,246,0,0,0,0 
E06000006,1,84,159,0,1,0,0 
E06000006,1,85,156,0,0,0,0 
E06000006,1,86,140,1,1,0,0 
E06000006,1,87,132,0,0,0,0 
E06000006,1,88,127,0,0,0,0 
E06000006,1,89,88,0,0,0,0 
E06000006,1,90,235,2,0,1,0 
E06000007,1,0,1059,38,54,4,3 
E06000007,1,1,1064,38,55,4,3 
E06000007,1,2,1181,42,61,4,3 
E06000007,1,3,1160,42,60,4,3 
E06000007,1,4,1195,43,61,4,3 
E06000007,1,5,1212,43,62,4,3 
E06000007,1,6,1273,46,65,5,4 
E06000007,1,7,1168,42,60,4,3 
E06000007,1,8,1283,35,41,0,1 
E06000007,1,9,1269,29,54,6,6 
E06000007,1,10,1183,36,54,2,3 
E06000007,1,11,1204,57,36,9,2 
E06000007,1,12,1155,35,48,5,3 
E06000007,1,13,1167,46,46,6,1 
E06000007,1,14,1138,35,31,3,6 
E06000007,1,15,1125,35,31,7,4 
E06000007,1,16,1196,28,33,1,5 
E06000007,1,17,1179,23,31,5,3 
E06000007,1,18,1171,23,35,4,1 
E06000007,1,19,929,23,24,6,2 
E06000007,1,20,893,21,18,4,5 
E06000007,1,21,1047,18,28,1,4 
E06000007,1,22,1102,19,22,5,3 
E06000007,1,23,1108,15,32,1,4 
E06000007,1,24,1272,19,29,9,1 
E06000007,1,25,1243,19,23,3,6 
E06000007,1,26,1215,15,27,2,1 
E06000007,1,27,1244,24,41,7,2 
E06000007,1,28,1251,32,25,7,8 
E06000007,1,29,1280,34,32,3,6 
E06000007,1,30,1219,19,30,11,5 
E06000007,1,31,1293,24,54,6,4 
E06000007,1,32,1228,20,40,6,8 
E06000007,1,33,1239,21,47,11,6 
E06000007,1,34,1234,13,50,12,3 
E06000007,1,35,1292,17,34,13,6 
E06000007,1,36,1307,13,68,14,10 
E06000007,1,37,1269,9,58,4,4 
E06000007,1,38,1240,13,71,13,5 
E06000007,1,39,1155,14,64,10,5 
E06000007,1,40,1140,16,67,10,8 
E06000007,1,41,1118,14,57,11,4 
E06000007,1,42,1150,17,88,14,10 
E06000007,1,43,1300,15,73,13,6 
E06000007,1,44,1269,6,70,12,8 
E06000007,1,45,1422,17,69,8,8 
E06000007,1,46,1518,10,60,8,5 
E06000007,1,47,1497,15,44,9,1 
E06000007,1,48,1482,17,43,9,8 
E06000007,1,49,1483,9,43,5,4 
E06000007,1,50,1497,11,25,17,1 
E06000007,1,51,1572,9,34,8,4 
E06000007,1,52,1635,8,38,14,4 
E06000007,1,53,1599,13,27,8,4 
E06000007,1,54,1592,12,25,9,0 
E06000007,1,55,1624,5,32,11,4 
E06000007,1,56,1477,9,15,7,5 
E06000007,1,57,1423,6,27,7,5 
E06000007,1,58,1323,4,22,8,4 
E06000007,1,59,1300,6,23,5,3 
E06000007,1,60,1215,2,24,4,6 
E06000007,1,61,1148,6,17,5,4 
E06000007,1,62,1143,5,15,0,3 
E06000007,1,63,1079,2,18,4,2 
E06000007,1,64,1050,4,14,3,3 
E06000007,1,65,1076,6,19,3,1 
E06000007,1,66,1034,7,16,0,2 
E06000007,1,67,980,1,8,1,1 
E06000007,1,68,1048,3,11,3,1 
E06000007,1,69,1080,2,8,2,0 
E06000007,1,70,1074,1,9,1,0 
E06000007,1,71,1199,6,16,3,1 
E06000007,1,72,932,5,13,1,0 
E06000007,1,73,931,3,9,2,3 
E06000007,1,74,879,4,12,1,1 
