geo_code,LAD11NM,RUC11CD,RUC11,Rural population1,Hub towns (rural related) population1,Rural including hub towns (rural & rural related) population1, Total population1,Rural including hub towns (rural & rural related) population1 
E09000007,Camden,6,Urban with Major Conurbation,0.00,0.00,0.00,220338.00,0
E09000008,Croydon,6,Urban with Major Conurbation,0.00,0.00,0.00,363378.00,0
E09000009,Ealing,6,Urban with Major Conurbation,0.00,0.00,0.00,338449.00,0
E09000010,Enfield,6,Urban with Major Conurbation,1478.00,0.00,1478.00,312466.00,0.5
E09000011,Greenwich,6,Urban with Major Conurbation,0.00,0.00,0.00,254557.00,0
E09000012,Hackney,6,Urban with Major Conurbation,625.00,0.00,625.00,246270.00,0.3
E09000013,Hammersmith and Fulham,6,Urban with Major Conurbation,0.00,0.00,0.00,182493.00,0
E09000014,Haringey,6,Urban with Major Conurbation,0.00,0.00,0.00,254926.00,0
E09000015,Harrow,6,Urban with Major Conurbation,601.00,0.00,601.00,239056.00,0.3
E09000016,Havering,6,Urban with Major Conurbation,1860.00,0.00,1860.00,237232.00,0.8
E09000017,Hillingdon,6,Urban with Major Conurbation,7399.00,0.00,7399.00,273936.00,2.7
E09000018,Hounslow,6,Urban with Major Conurbation,0.00,0.00,0.00,253957.00,0
E09000019,Islington,6,Urban with Major Conurbation,0.00,0.00,0.00,206125.00,0
E09000020,Kensington and Chelsea,6,Urban with Major Conurbation,0.00,0.00,0.00,158649.00,0
E09000021,Kingston upon Thames,6,Urban with Major Conurbation,424.00,0.00,424.00,160060.00,0.3
E09000022,Lambeth,6,Urban with Major Conurbation,0.00,0.00,0.00,303086.00,0
E09000023,Lewisham,6,Urban with Major Conurbation,0.00,0.00,0.00,275885.00,0
