cdu_id,geo_code,ns-sec_total_persons,ns-sec_1,ns-sec_2,ns-sec_3,ns-sec_4,ns-sec_5,ns-sec_6,ns-sec_7,ns-sec_8,ns-sec_15,ns-sec_1_perc,ns-sec_2_perc,ns-sec_3_perc,ns-sec_4_perc,ns-sec_5_perc,ns-sec_6_perc,ns-sec_7_perc,ns-sec_8_perc,ns-sec_15_perc,biggest_ns_sec
148,E07000033,75251,6298,13158,6475,7916,9546,11933,16119,3382,417,0.08369324,0.174854819,0.086045368,0.105194615,0.126855457,0.158575966,0.214203134,0.044942924,0.005541455,ns_sec_7_perc
149,E07000034,102681,10394,21401,11259,11042,10745,16415,16578,4159,680,0.101226128,0.208422201,0.109650276,0.107536935,0.104644481,0.159864045,0.161451486,0.040504085,0.006622452,ns_sec_2_perc
150,E07000035,69562,12626,16563,5062,12843,5952,7169,7791,1230,320,0.181507145,0.238104137,0.072769616,0.184626664,0.085563957,0.103059141,0.112000805,0.017682068,0.004600213,ns_sec_2_perc
151,E07000036,110939,12860,23234,11428,12376,13425,15558,17402,3815,834,0.115919559,0.209430408,0.103011565,0.111556801,0.121012448,0.140239231,0.156860978,0.034388267,0.007517645,ns_sec_2_perc
152,E07000037,89867,13815,21009,8401,12557,9070,11505,10397,2221,886,0.153727175,0.233778806,0.093482591,0.13972871,0.100926925,0.128022522,0.115693191,0.0247143,0.009859014,ns_sec_2_perc
153,E07000038,98240,11901,21855,9527,13246,10109,13348,15155,2693,406,0.121142101,0.222465391,0.096976792,0.134833062,0.102901059,0.135871336,0.154265065,0.027412459,0.004132736,ns_sec_2_perc
154,E07000039,93133,13979,21520,8517,11293,10606,11835,12569,2116,694,0.150097173,0.231067398,0.091449862,0.121256697,0.11388015,0.127076332,0.134957534,0.022720196,0.007451709,ns_sec_2_perc
155,E07000040,129528,18663,32701,13410,24293,10676,15223,11676,2298,573,0.144084677,0.252462788,0.103529739,0.187550182,0.082422333,0.117526712,0.090142672,0.017741338,0.004423754,ns_sec_2_perc
156,E07000041,111808,15006,24783,13038,11598,9161,14359,12910,2789,8158,0.134212221,0.221656769,0.116610618,0.103731397,0.081935103,0.128425515,0.115465799,0.024944548,0.072964367,ns_sec_2_perc
157,E07000042,76866,9898,17265,6688,15719,6681,9395,9316,1570,328,0.128769547,0.224611662,0.08700856,0.204498738,0.086917493,0.122225691,0.121197929,0.020425155,0.004267166,ns_sec_2_perc
